nID;nID_Service;nID_City;nID_Region;nID_ServiceType;oData;sURL;bHidden;nID_Subject_Operator;bTest;sNote;asAuth;nID_Place;nID_Server
1064;1470;;5;4;"{""processDefinitionId"":""common_mreo_12:1:1""}";;false;12;false;;BankID,EDS;50005;6
186;176;;5;4;"{""processDefinitionId"":""kiev_dms_zagran:1:1""}";;false;288;false;;BankID,EDS;50005;6
187;177;;5;4;"{""processDefinitionId"":""kiev_dms-288:1:1""}";;false;288;false;;BankID,EDS;50005;6
188;28;;5;4;"{""processDefinitionId"":""kiev_dms-205ID:1:1""}";;false;205;false;;BankID,EDS;50005;6
311;1464;;5;4;"{""processDefinitionId"":""common_mreo_4:1:58""}";;false;12;false;;BankID,EDS;50005;6
337;39;;5;4;"{""processDefinitionId"":""kyiv_mda_1194:1:1""}";;false;1;true;;BankID,EDS;50005;6
339;1507;;5;4;"{""processDefinitionId"":""kiev_mda_832budad:1:1""}";;false;1;true;;BankID,EDS;50005;6
1061;1467;;5;4;"{""processDefinitionId"":""common_mreo_9:1:1""}";;false;12;false;;BankID,EDS;50005;6
1062;1468;;5;4;"{""processDefinitionId"":""common_mreo_10:1:1""}";;false;12;false;;BankID,EDS;50005;6
1063;1469;;5;4;"{""processDefinitionId"":""common_mreo_11:1:1""}";;false;12;false;;BankID,EDS;50005;6
1065;1463;;5;4;"{""processDefinitionId"":""common_mreo_6:1:1""}";;false;12;false;;BankID,EDS;50005;6
1066;1471;;5;4;"{""processDefinitionId"":""common_mreo_13:1:1""}";;false;12;false;;BankID,EDS;50005;6
1067;1465;;5;4;"{""processDefinitionId"":""common_mreo_7:1:1""}";;false;12;false;;BankID,EDS;50005;6
1068;1415;;5;4;"{""processDefinitionId"":""common_mreo_3:1:1""}";;false;311;true;;BankID,EDS;50005;6
1201;241;;5;4;"{""processDefinitionId"":""kiev_mda_1194:1:1""}";;false;1;true;;BankID,EDS;50005;6
2561;1506;;5;4;"{""processDefinitionId"":""Kiev_mda_833dgk:1:1""}";;false;1;true;;BankID,EDS;50005;6
2566;1508;;5;4;"{""processDefinitionId"":""kiev_arch_827:1:1""}";;false;18;true;;BankID,EDS,KK;50005;6
2588;1509;;5;4;"{""processDefinitionId"":""kiev_arch_828:1:1""}";;false;18;true;;BankID,EDS,KK;50005;6
2601;173;;5;4;"{""processDefinitionId"":""kiev_dms-227ID:1:1""}";;false;205;false;;BankID,EDS;50005;6
2602;175;;5;4;"{""processDefinitionId"":""kiev_dms-257ID:1:1""}";;false;205;false;;BankID,EDS;50005;6
2603;1431;;5;4;"{""processDefinitionId"":""kiev_dms-272ID:1:1""}";;false;205;false;;BankID,EDS;50005;6
2604;1510;;5;4;"{""processDefinitionId"":""kiev_mda_834:1:1""}";;false;18;true;;BankID,EDS,KK;50005;6
1;1;2;;1;{};https://null.igov.org.ua;true;1;true;Перейдя на этот сайт Вы сможете получить услугу;BankID,EDS,KK;2;0
2;1;;2;3;;https://lviv.igov.org.ua;true;1;true;;BankID,EDS;50002;0
3;2;1;;4;"{""processDefinitionId"":""CivilCardAccountlRequest:4:12564""}";;false;1;true;;BankID,EDS,KK;1;0
4;659;115;;4;"{""processDefinitionId"":""kuznetsovsk_mvk_2:1:1""}";;false;212;false;;BankID,EDS;115;0
5;160;;9;4;"{""processDefinitionId"":""dnepr_cnap_267:1:1""}";;false;284;false;;BankID,EDS;50009;0
6;710;594;;4;"{""processDefinitionId"":""lviv_mvk_701:1:1""}";;false;212;false;;BankID,EDS;594;0
7;6;4;;4;"{""processDefinitionId"":""ivFrank_mvk_2:4:12566""}";;false;1;true;;BankID,EDS;4;0
8;160;;1;4;"{""processDefinitionId"":""dnepr_cnap_267:1:1""}";;false;284;false;;BankID,EDS;50001;0
9;4;71;;4;"{""processDefinitionId"":""cnap_293:1:1""}";;false;225;false;;BankID,EDS;71;0
10;4;143;;4;"{""processDefinitionId"":""cnap_293:1:1""}";;false;212;false;;BankID,EDS;143;0
11;99;102;;4;"{""processDefinitionId"":""dnepr_cnap_231:1:1""}";;false;225;false;;BankID,EDS;102;0
12;101;;;1;{};http://map.land.gov.ua/kadastrova-karta;false;1;false;Ви можете отримати послугу на сайті Публічної кадастрової карти України;BankID,EDS;;0
13;473;594;;4;"{""processDefinitionId"":""lviv_mvk_743:1:1""}";;false;212;false;;BankID,EDS;594;0
14;659;227;;4;"{""processDefinitionId"":""kuznetsovsk_mvk_2:1:1""}";;false;212;true;;BankID,EDS;227;0
15;659;319;;4;"{""processDefinitionId"":""kuznetsovsk_mvk_2:1:1""}";;false;212;false;;BankID,EDS;319;0
16;4;24;;4;"{""processDefinitionId"":""cnap_293:1:1""}";;false;225;true;;BankID,EDS;24;0
17;4;319;;4;"{""processDefinitionId"":""cnap_293:1:1""}";;false;212;true;;BankID,EDS;319;0
18;17;15;;4;"{""processDefinitionId"":""nikolaev_oda_2:1:1""}";;false;220;false;;BankID,EDS;15;0
19;18;15;;4;"{""processDefinitionId"":""nikolaev_oda_3:4:12552""}";;false;1;true;;BankID,EDS;15;0
20;19;15;;4;"{""processDefinitionId"":""nikolaev_oda_4:4:12558""}";;false;1;true;;BankID,EDS;15;0
21;20;15;;4;"{""processDefinitionId"":""nikolaev_oda_1:4:12549""}";;false;1;true;;BankID,EDS;15;0
22;11;471;;4;"{""processDefinitionId"":""rda_360:1:1""}";;false;212;true;;BankID,EDS;471;0
23;659;55;;4;"{""processDefinitionId"":""kuznetsovsk_mvk_2:1:1""}";;false;212;false;;BankID,EDS;55;0
24;1410;28;;4;"{""processDefinitionId"":""dnepr_cnap_243:1:1""}";;false;225;false;;BankID,EDS;28;0
25;23;8;;4;"{""processDefinitionId"":""zhitomir_mvk_2:1:1""}";;false;225;false;;BankID,EDS;8;0
26;99;37;;4;"{""processDefinitionId"":""dnepr_cnap_231:1:1""}";;false;225;false;;BankID,EDS;37;0
27;99;469;;4;"{""processDefinitionId"":""dnepr_cnap_231:1:1""}";;false;225;true;;BankID,EDS;469;0
28;99;67;;4;"{""processDefinitionId"":""dnepr_cnap_231:1:1""}";;false;225;true;;BankID,EDS;67;0
29;1429;594;;4;"{""processDefinitionId"":""dnepr_cnap_268:1:1""}";;false;212;false;;BankID,EDS;594;0
30;99;182;;4;"{""processDefinitionId"":""dnepr_cnap_231:1:1""}";;false;225;false;;BankID,EDS;182;0
31;1;;23;4;"{""processDefinitionId"":""common_mvd_1_hand:1:58""}";;false;306;true;;BankID,EDS;50023;0
32;456;594;;4;"{""processDefinitionId"":""nikopol_cnap_268_dovidka:1:1""}";;false;212;false;;BankID,EDS;594;0
33;1;;1;4;"{""processDefinitionId"":""common_mvd_1_hand:1:58""}";;false;306;false;;BankID,EDS;50001;0
34;161;;6;4;"{""processDefinitionId"":""ternopol_oda_209:1:1""}";;false;161;false;;BankID,EDS;50006;0
35;4;19;;1;{};http://my.vmr.gov.ua;false;1;false;Замовити послугу можна на сайті Вінницької міськради після реєстрації в Персональному кабінеті;BankID,EDS;19;0
36;686;19;;1;{};http://my.vmr.gov.ua;false;1;false;Замовити послугу можна на сайті Вінницької міськради після реєстрації в Персональному кабінеті;BankID,EDS;19;0
37;98;19;;1;{};http://my.vmr.gov.ua;false;1;false;Замовити послугу можна на сайті Вінницької міськради після реєстрації в Персональному кабінеті;BankID,EDS;19;0
38;6;19;;1;{};http://my.vmr.gov.ua;false;1;false;Замовити послугу можна на сайті Вінницької міськради після реєстрації в Персональному кабінеті;BankID,EDS;19;0
39;109;19;;1;{};http://my.vmr.gov.ua;false;1;false;Замовити послугу можна на сайті Вінницької міськради після реєстрації в Персональному кабінеті;BankID,EDS;19;0
40;478;19;;1;{};http://my.vmr.gov.ua;false;1;false;Замовити послугу можна на сайті Вінницької міськради після реєстрації в Персональному кабінеті;BankID,EDS;19;0
41;176;27;;4;"{""processDefinitionId"":""dnepr_dms_passport:1:1""}";;false;288;true;;BankID,EDS;27;0
42;9;19;;1;{};http://my.vmr.gov.ua;false;1;false;Замовити послугу можна на сайті Вінницької міськради після реєстрації в Персональному кабінеті;BankID,EDS;19;0
43;474;19;;1;{};http://my.vmr.gov.ua;false;1;false;Замовити послугу можна на сайті Вінницької міськради після реєстрації в Персональному кабінеті;BankID,EDS;19;0
44;475;19;;1;{};http://my.vmr.gov.ua;false;1;false;Замовити послугу можна на сайті Вінницької міськради після реєстрації в Персональному кабінеті;BankID,EDS;19;0
45;476;19;;1;{};http://my.vmr.gov.ua;false;1;false;Замовити послугу можна на сайті Вінницької міськради після реєстрації в Персональному кабінеті;BankID,EDS;19;0
46;1392;19;;1;{};http://my.vmr.gov.ua;false;1;false;Замовити послугу можна на сайті Вінницької міськради після реєстрації в Персональному кабінеті;BankID,EDS;19;0
47;477;19;;1;{};http://my.vmr.gov.ua;false;1;false;Замовити послугу можна на сайті Вінницької міськради після реєстрації в Персональному кабінеті;BankID,EDS;19;0
48;179;;1;4;"{""processDefinitionId"":""dnepr_dms-835:1:1""}";;false;288;false;;BankID,EDS;50001;0
49;482;19;;1;{};http://my.vmr.gov.ua;false;1;false;Замовити послугу можна на сайті Вінницької міськради після реєстрації в Персональному кабінеті;BankID,EDS;19;0
50;483;19;;1;{};http://my.vmr.gov.ua;false;1;false;Замовити послугу можна на сайті Вінницької міськради після реєстрації в Персональному кабінеті;BankID,EDS;19;0
51;59;;1;4;"{""processDefinitionId"":""dnepr_cnap_265:1:1""}";;false;284;false;;BankID,EDS;50001;0
52;484;19;;1;{};http://my.vmr.gov.ua;false;1;false;Замовити послугу можна на сайті Вінницької міськради після реєстрації в Персональному кабінеті;BankID,EDS;19;0
