﻿"nID";"nID_Service";"nID_ServiceTag"
1;675;9
10;24;13
100;17;52
101;18;52
102;226;52
103;231;52
104;627;52
105;21;53
106;704;54
107;716;54
108;717;54
109;718;54
11;627;13
110;704;55
111;716;55
112;717;55
113;718;55
114;548;56
115;549;56
116;550;56
117;551;56
118;687;56
119;1387;56
120;1430;56
121;1415;57
122;9;58
123;23;58
124;27;58
125;100;58
126;101;58
127;455;58
128;474;58
129;657;58
13;686;13
130;1419;58
131;1478;58
132;1465;59
133;1467;60
134;1468;60
135;1471;60
136;121;61
137;11;63
138;479;63
139;659;63
14;742;13
140;676;63
141;1450;63
142;1462;63
143;76;64
144;101;64
145;651;64
146;103;65
147;104;65
148;105;65
149;668;65
15;1448;13
150;1428;65
151;1452;65
157;1510;66
158;234;67
159;472;67
16;75;15
160;1422;67
161;1425;67
162;64;68
163;79;68
164;1427;68
165;1483;68
166;1516;68
167;25;69
168;29;69
169;178;69
17;10;16
170;35;70
171;1429;70
172;1435;70
173;1516;70
174;176;71
175;1418;71
176;716;72
177;717;72
178;718;72
179;50;73
18;101;16
180;85;73
181;700;73
182;184;74
183;185;74
184;740;74
185;716;75
186;717;75
187;718;75
188;1469;76
189;706;77
19;193;16
190;740;77
191;29;78
192;709;78
193;1471;80
194;24;81
195;26;81
196;29;81
197;144;81
198;627;81
2;1436;9
20;475;16
200;686;81
201;742;81
202;1448;81
203;473;82
204;1380;82
205;1562;83
206;706;84
21;476;16
22;724;16
23;1216;16
24;1393;16
25;1457;16
26;1472;16
27;1481;16
28;1482;16
29;1505;16
3;19;10
30;1555;16
31;25;17
32;29;17
33;178;17
34;740;19
35;548;20
36;549;20
37;550;20
38;551;20
39;687;20
4;801;10
40;110;21
41;118;21
42;123;21
43;144;24
44;473;24
45;1380;24
46;1433;24
47;1434;24
48;1456;24
5;1386;10
56;706;26
57;448;27
58;541;28
59;28;30
6;1417;10
60;184;31
61;740;31
62;29;32
63;173;32
64;29;33
65;175;33
66;177;34
67;740;34
68;1418;34
69;176;35
7;644;12
70;1418;35
71;28;36
72;29;41
73;1431;41
74;1529;42
75;1397;43
76;1463;43
77;1464;43
78;1470;44
79;1397;45
8;740;12
80;1463;45
81;1464;45
82;1466;45
83;1467;45
84;709;46
85;1561;46
86;177;47
87;740;47
88;1418;47
89;752;48
9;741;12
90;786;48
91;779;49
92;786;49
93;176;50
94;1418;50
95;4;51
96;480;51
97;481;51
98;530;51
208;2503;86
209;2504;86
210;2516;86
211;2505;86
212;2506;86
213;39;86
214;2518;86
215;2507;87
216;2508;87
217;2517;87
218;55;87
219;2510;87
220;39;87
221;2519;87
222;2511;87
223;2515;87
224;2520;87
225;2512;88
226;2521;88
227;2514;88
